Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1091-Concert_Tickets,3871862.cpp,entry2.txt,2200670417,3155930543,15781174,1646706,592075535,2919532,2471,595644084,3000858,1057917759,12959967,729156357,20669204,1544326,1898452,188851,1023498018,17660
1091-Concert_Tickets,3871862.cpp,entry6.txt,1838943808,2757384948,9649764,1088916,514667702,2405557,2471,517292466,2344671,908036862,9113005,621360337,10102288,840036,1715001,193664,903061637,16070
1091-Concert_Tickets,3871862.cpp,entry5.txt,1796403070,2520968038,10964599,1031864,455682812,2365122,2472,456544456,2342222,820195564,9119226,591483854,15176234,896398,1624107,160499,822235822,15562
1091-Concert_Tickets,3871862.cpp,entry3.txt,2521649289,3075047036,38430716,9669913,583368874,7916049,2470,584855339,7935263,1010441303,14762598,671121416,17706119,6859212,2194977,223215,1007364194,42716
1091-Concert_Tickets,3871862.cpp,entry4.txt,613650121,1071528149,4666355,1547634,205331318,1844061,2469,207768805,1685921,359950856,2926787,247613500,1357657,429922,248167,180379,359204051,13783
1091-Concert_Tickets,3871862.cpp,entry1.txt,1866606639,2239600904,19286757,3809344,422920818,5788463,2472,428050884,5673442,739124272,7026463,495211211,10583724,3174825,1349349,240647,734495781,19784
1091-Concert_Tickets,3871862.cpp,entry7.txt,2411920304,2654196772,27576209,5524915,509870008,12665728,2472,510039377,12886004,866388623,10143484,558424195,21814079,3923947,1746121,261490,869436759,32196
1091-Concert_Tickets,2381481.cpp,entry2.txt,1454288642,1920865597,7329643,1026208,350969419,1798427,3255,353708903,1836485,621852581,12514457,437312032,7151943,695744,1214611,172630,617048144,15898
1091-Concert_Tickets,2381481.cpp,entry6.txt,1404510004,1934562282,7872903,1100415,354044872,1493102,3255,351468271,1467937,614633975,13551211,440766349,5474709,664826,1266097,171189,611559978,16689
1091-Concert_Tickets,2381481.cpp,entry5.txt,1363563504,1863508413,7132256,1260589,332886674,1667554,3256,333878480,1578264,593153294,12644958,434058805,5160880,603901,1190385,165540,595226253,16082
1091-Concert_Tickets,2381481.cpp,entry3.txt,1821711547,1802695473,33386554,9517754,329930011,5512427,3256,329008851,5537578,556052154,12712031,378116007,6522506,6023245,2044177,349941,559873979,75616
1091-Concert_Tickets,2381481.cpp,entry4.txt,489981394,779952742,4831923,1777485,143041986,1215142,2863,143576332,1165553,249904695,2696729,188380805,1085251,422453,216785,174222,248784999,14035
1091-Concert_Tickets,2381481.cpp,entry1.txt,1450691469,1684227376,16938551,4001929,302863468,3196217,3257,302915514,3170491,526199906,6826065,375503006,3101707,2987505,1198931,188205,535890684,19227
1091-Concert_Tickets,2381481.cpp,entry7.txt,1440030635,1636879944,16693683,4020157,303402626,3506198,3257,304402535,3446075,515073190,6941760,347789246,4194930,3010259,1321174,209659,515067183,26676
1091-Concert_Tickets,2265396.cpp,entry2.txt,1615326360,2503770248,7968885,1023523,463242748,2208038,2472,460531229,2259566,797736745,8026564,545879229,11673684,699826,1495669,166427,815005460,15968
1091-Concert_Tickets,2265396.cpp,entry6.txt,1650190840,2526846608,7231783,888313,474973411,2631559,2471,480490787,2337310,830569838,7111841,562260536,7658421,627637,1432561,168662,820544485,15949
1091-Concert_Tickets,2265396.cpp,entry5.txt,1479533395,2099421927,7606841,982288,388187622,1670438,2471,389299612,1683484,682174312,6801583,481683550,12352260,567709,1359170,159308,662879717,15012
1091-Concert_Tickets,2265396.cpp,entry3.txt,2234679534,2638994514,37081342,10557992,510521631,6188035,2471,511062336,6209724,859070910,14114878,553091927,16026216,6696136,2055672,240628,852247890,43890
1091-Concert_Tickets,2265396.cpp,entry4.txt,616356699,1087099477,4519137,1911901,205655792,1683577,2470,205081295,1732027,358843377,2814068,245031339,1873299,448595,201801,161582,359841758,14707
1091-Concert_Tickets,2265396.cpp,entry1.txt,1691148811,2230811108,18303389,3813861,420623676,3519623,2471,423184921,3521626,723123159,6801295,480721431,5439853,3110444,1461809,168134,720357972,18870
1091-Concert_Tickets,2265396.cpp,entry7.txt,1742220184,2418067572,18808491,3978664,467038880,4055743,2471,471513648,3924548,794912816,7454916,511860153,8372148,3176982,1411694,187806,782442045,25578
1091-Concert_Tickets,340754.cpp,entry2.txt,1616377278,2446684528,8215767,830452,458713164,2289163,2470,459594284,2239166,802253579,7618109,546715785,12445419,759557,1381149,168167,802708311,16123
