Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1636-Coin_Combinations_II,6417521.cpp,entry5.txt,6487844747,19026533517,60709939,35723188,1711922027,444476,98804,1710425209,402987,5080476325,29333171,3111391250,5544854,1643636,7664617,6954292,5106551378,1869095
1636-Coin_Combinations_II,6417521.cpp,entry3.txt,6466035085,19077854397,60824389,35108389,1711502358,455539,98804,1705794295,420541,5071711240,29816850,3112592050,5674710,1624887,7806859,7019066,5107575648,1828357
1636-Coin_Combinations_II,6417521.cpp,entry4.txt,6537714812,18899392847,71614317,37769742,1702766926,458136,98804,1709735139,422796,5080823348,35243611,3117986540,5532983,1967371,7789944,6854495,5079437976,1837937
1636-Coin_Combinations_II,6417521.cpp,entry1.txt,6484696206,19010120699,61097590,36655525,1723665793,436921,98804,1718855185,391189,5074388813,30304366,3101022055,6076889,1691800,7600876,6873123,5080489966,1828660
1636-Coin_Combinations_II,3739170.cpp,entry2.txt,1257711227,3490806657,15142610,5837360,202821233,75498,1109,208724468,47239,1077962878,6552220,198693786,677975,242656,113157,205,1089178825,4035
1636-Coin_Combinations_II,3739170.cpp,entry6.txt,1984030104,5834429052,16450773,8314654,203729905,100618,1108,203876213,60256,1607299793,6891724,303407151,1052024,480690,170186,538,1607917751,8125
1636-Coin_Combinations_II,3739170.cpp,entry5.txt,1988507961,5830957841,16303903,8178302,203456332,118547,1108,204727633,77689,1605173934,7014911,302208594,1024906,439142,201106,19385,1612545866,9178
1636-Coin_Combinations_II,3739170.cpp,entry3.txt,1984151013,5830635621,16003365,8224369,203828276,103765,1108,203942485,69958,1602506347,6994836,304271032,928602,486988,189667,37283,1605111750,9801
1636-Coin_Combinations_II,3739170.cpp,entry4.txt,1920078457,5580370274,25192139,6990834,200690923,100193,1107,202203143,61440,1557839917,12064374,294018590,947287,429631,156633,1143,1557352815,6894
1636-Coin_Combinations_II,3739170.cpp,entry1.txt,2001123120,5852951047,16409909,8157684,204376086,107035,1108,204492997,60795,1608251432,6876563,301098581,970936,421253,149476,2608,1606962653,7367
1636-Coin_Combinations_II,5208903.cpp,entry2.txt,5712961528,15853745934,67838203,38590769,1753706653,411231,99786,1753623504,365534,4964248820,32580106,2995758942,5035821,1742838,7740039,7035933,4982378247,1861011
1636-Coin_Combinations_II,5208903.cpp,entry6.txt,6724546489,18884209997,60433769,35692360,2115794880,437399,99786,2122337858,391196,6024510539,30150153,3628731706,5454322,1591305,7680448,6969170,5999979003,1838867
1636-Coin_Combinations_II,5208903.cpp,entry5.txt,6736655550,18942829641,61558890,36075634,2123415816,445857,99786,2118299162,406001,5992612183,30158283,3630101297,5643463,1613664,7815362,6996032,5996933946,1853715
1636-Coin_Combinations_II,5208903.cpp,entry3.txt,6759929506,18939138983,61178832,35768731,2122016026,447077,99787,2125084855,407650,6014938520,30316332,3625791974,6006218,1726525,7806411,7085204,6019033691,1883264
1636-Coin_Combinations_II,5208903.cpp,entry4.txt,6704886627,18614844769,72498601,38093815,2080584252,434340,99786,2079513066,392866,5895913494,35704888,3566618525,5807302,1977796,7774126,7011411,5907216867,1859560
1636-Coin_Combinations_II,5208903.cpp,entry1.txt,6734864037,18919613972,61680004,36002219,2122454758,442384,99786,2125417935,402004,6001773550,30486345,3617393584,5743523,1603530,7771774,6968982,6004270021,1857980
