Class,Program,Entry,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions,branch-misses,page-faults,branch-loads,branch-load-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-icache-load-misses,LLC-loads,LLC-stores,LLC-store-misses,dTLB-loads,dTLB-store-misses
1636-Coin_Combinations_II,8629046.cpp,entry3.txt,6124357890,10956890585,34404565,21331596,1209033686,218235,2085,1210379064,171435,4016585592,14464794,2307293232,2931783,942107,366758,160804,4024295293,30484
1636-Coin_Combinations_II,8629046.cpp,entry4.txt,5896318488,10515010784,56241287,25939746,1169799480,198465,2086,1170103927,162871,3874010593,25215097,2219879685,2788064,1423107,344727,126500,3865882218,36458
1636-Coin_Combinations_II,8629046.cpp,entry1.txt,6138410459,10955770706,33286499,20794144,1207800515,203159,2085,1208820032,163299,4015764463,14205358,2309798365,2628922,931636,307743,97105,4027669222,28660
1636-Coin_Combinations_II,7170748.cpp,entry2.txt,1775499800,5377313484,28833268,14899429,493333989,120558,2079,489418639,86926,1833793940,12276612,772654827,741904,400915,197737,84086,1862909665,24446
1636-Coin_Combinations_II,7170748.cpp,entry6.txt,2838780073,9497904370,32112971,19536312,808407167,128699,2080,810010547,82572,3125418894,13473959,1505955573,1445618,788128,249061,93615,3096471348,85032
1636-Coin_Combinations_II,7170748.cpp,entry5.txt,2826891035,9526027434,31789646,19244721,801647303,124794,2079,801922007,81674,3124871106,13437569,1514223955,1224077,746783,250362,135416,3111917079,62584
1636-Coin_Combinations_II,7170748.cpp,entry3.txt,2838845125,9511791087,31374296,19081132,804613066,138610,2079,805125764,91734,3105521485,13547964,1506314327,1263088,810538,251887,93972,3120661948,58386
1636-Coin_Combinations_II,7170748.cpp,entry4.txt,2741993197,9160227316,52957333,20844264,774799418,134309,2078,774769308,82000,2996555590,24442415,1432955029,1297158,723932,249473,85414,3016925134,56277
1636-Coin_Combinations_II,7170748.cpp,entry1.txt,2864466084,9615072417,31914728,18822467,805573502,117491,2080,798887414,80582,3084555691,13445593,1497596767,1443112,818940,244631,99656,3145164861,59569
1636-Coin_Combinations_II,2233044.cpp,entry2.txt,2336808089,5306121768,105880091,63172100,366584107,5032898,7935,366800064,4997254,1712387488,48424870,485751215,1186044,1365413,2445503,1236451,1654940678,334963
1636-Coin_Combinations_II,2233044.cpp,entry6.txt,3841712611,10999956543,119615105,77946235,411934165,165888,7936,411993300,123461,3005813136,49969961,601037549,1881809,1125299,2444117,1508332,3007701754,379485
1636-Coin_Combinations_II,2233044.cpp,entry5.txt,3845013255,11065895101,116053231,75041479,408904266,160288,7936,409512120,116629,3014201734,51564888,620466306,2013248,1199843,2559182,1466553,3012935548,363682
1636-Coin_Combinations_II,2233044.cpp,entry3.txt,3814483609,10972131489,116959273,76176269,408344662,182686,7937,408181780,130300,2988517275,51330194,610391855,1792658,1110687,2519412,1430112,2990197599,359601
1636-Coin_Combinations_II,2233044.cpp,entry4.txt,3562514902,9895715878,135260590,76108459,401419306,1514295,7937,401618885,1273704,2753805169,60547111,572292163,1847902,1312453,2238648,1242552,2746604339,352738
1636-Coin_Combinations_II,2233044.cpp,entry1.txt,3809888106,10931558132,119332470,77132918,408166552,187135,7936,406404633,120712,2976493766,50544324,599308223,1933427,1137444,2457426,1496157,2989240907,375410
