Program,cpu-cycles_mean,cpu-cycles_std_dev,cpu-cycles_ic_low,cpu-cycles_ic_high,instructions_mean,instructions_std_dev,instructions_ic_low,instructions_ic_high,cache-references_mean,cache-references_std_dev,cache-references_ic_low,cache-references_ic_high,cache-misses_mean,cache-misses_std_dev,cache-misses_ic_low,cache-misses_ic_high
array5_1,9366342660.9,298100095.64976394,9253127341.81863,9479557979.981369,24423119454.033333,584018.242896543,24422897649.972603,24423341258.094063,86536.46666666666,21783.00841899994,78263.50639359545,94809.42693973787,19394.9,4048.3152491705323,17857.391930176018,20932.408069823985
sortedlist5_1,5549134611.2,124312049.41678262,5501922186.428035,5596347035.971965,15672270345.3,280762.22262395517,15672163714.724953,15672376975.875046,44907.13333333333,5864.225483007586,42679.96142392263,47134.305242744034,11828.133333333333,1523.0271989983924,11249.703427336948,12406.563239329718
array5_2,1003788.1666666666,35845.15927530832,990174.5476034762,1017401.785729857,750820.6,10325.838150323038,746898.9539554951,754742.2460445048,14308.6,275.519460897653,14203.960571385716,14413.239428614284,440.8333333333333,452.5026764807278,268.9775182881441,612.6891483785225
sortedlist5_2,999619.6333333333,54027.56790348382,979100.524387559,1020138.7422791076,746142.0666666667,12695.050746736786,741320.6182940549,750963.5150392784,14142.0,235.2707659981013,14052.64660752646,14231.35339247354,495.5,756.506124672277,208.18683391363584,782.8131660863642
array5_3,7523380.566666666,277408.4078477896,7418023.7356267935,7628737.397706539,13216323.6,16426.433085325207,13210085.011384085,13222562.188615914,15414.233333333334,636.2120025763599,15172.606624968552,15655.860041698115,577.4333333333333,611.8857564030142,345.04548051659816,809.8211861500683
sortedlist5_3,1015793.5,22871.792147752654,1007107.0309791618,1024479.9690208382,805163.2333333333,8573.695643005349,801907.0328084269,808419.4338582397,14120.833333333334,380.2406328746165,13976.421891650405,14265.244775016263,245.93333333333334,130.0786770467098,196.5308033025207,295.335863364146
array5_4,70676421.26666667,1337939.797646066,70168285.63265422,71184556.90067911,155446578.86666667,14691.081248461222,155440999.3466482,155452158.38668516,17813.9,737.5226256416364,17533.796569607784,18094.00343039222,942.9333333333333,823.8488507541229,630.0440995689398,1255.8225670977267
sortedlist5_4,50447954.8,977112.6905114682,50076857.55230007,50819052.04769992,123163658.46666667,15540.781288239303,123157756.2394014,123169560.69393194,16898.766666666666,566.9697042660706,16683.43746377581,17114.095869557525,634.6,697.5741585427795,369.668582349176,899.5314176508241
array5_5,11760106.066666666,187851.81682626574,11688761.898407869,11831450.234925464,21638751.8,12296.782398660229,21634081.609807998,21643421.990192004,16262.833333333334,673.337809391063,16007.106629275768,16518.5600373909,819.8666666666667,742.0352971538633,538.0493705205574,1101.683962812776
sortedlist5_5,1192163.9666666666,44113.98232192247,1175409.9345230667,1208917.9988102664,1114901.3333333333,10679.593517025303,1110845.334676057,1118957.3319906094,14432.933333333332,629.6576812487524,14193.795888109675,14672.07077855699,420.06666666666666,441.5194169632357,252.38217947065505,587.7511538626783
array5_6,3106270.033333333,59568.979149376806,3083646.3539713793,3128893.712695287,5181175.866666666,10901.414424233622,5177035.622733542,5185316.110599791,14858.866666666667,818.6117815478158,14547.966417373918,15169.766915959415,723.2,651.9959815827089,475.5787004034289,970.8212995965712
sortedlist5_6,1980886.9333333333,87960.31259378036,1947480.5205138556,2014293.346152811,3146092.7666666666,9901.657947648073,3142332.2198559246,3149853.3134774086,14473.266666666666,815.615061710418,14163.50454043238,14783.028792900954,744.1333333333333,743.8361707317606,461.6320841133331,1026.6345825533335
array5_7,148124838968.43332,2186661289.491627,147294367729.99557,148955310206.87106,290241622524.8333,3119657.7000439656,290240437711.25195,290242807338.4147,723281.2666666667,76332.18994148026,694291.094014868,752271.4393184654,264362.6666666667,30476.53949989875,252787.99361446194,275937.3397188714
sortedlist5_7,3889992355.866667,65039104.02611805,3865291179.910875,3914693531.8224587,9918309095.1,191077.87239244458,9918236525.709356,9918381664.490644,40000.76666666667,4409.619081684444,38326.03915518426,41675.49417814908,9240.8,1515.4911723046537,8665.232198642922,9816.367801357077
array5_8,1112153.1333333333,57055.46010665607,1090484.0623884562,1133822.2042782104,916791.6666666666,14476.099291207174,911293.7945618782,922289.5387714551,14558.066666666668,657.8402507870398,14308.225774347982,14807.907558985353,434.53333333333336,469.6425401894036,256.1679761339921,612.8986905326747
