model_name,seconds,code_name,caracteristcs,length
meta-llama/CodeLlama-7b-hf,30.491467237472534,ENH5,6,-1
meta-llama/CodeLlama-7b-hf,30.796299934387207,5EHT,12,-1
meta-llama/CodeLlama-7b-hf,30.73427438735962,JNMV,11,-1
meta-llama/CodeLlama-7b-hf,30.606356859207153,K1SV,5,-1
meta-llama/CodeLlama-7b-hf,30.390207290649414,2869,2,-1
meta-llama/CodeLlama-7b-hf,30.176849126815796,P2SU,14,26
meta-llama/CodeLlama-7b-hf,30.3069007396698,XUOM,5,-1
meta-llama/CodeLlama-7b-hf,30.31681728363037,YJLW,5,-1
meta-llama/CodeLlama-7b-hf,30.20203733444214,IZ11,8,-1
meta-llama/CodeLlama-7b-hf,30.571192026138306,94GU,6,-1
meta-llama/CodeLlama-7b-hf,30.758219718933105,62GL,9,42
meta-llama/CodeLlama-7b-hf,30.735544681549072,AVNR,13,-1
meta-llama/CodeLlama-7b-hf,30.327468395233154,1RV9,14,26
meta-llama/CodeLlama-7b-hf,30.68264889717102,1AIZ,1,-1
meta-llama/CodeLlama-7b-hf,30.57228922843933,VI0C,6,-1
meta-llama/CodeLlama-7b-hf,30.54288077354431,F209,5,-1
meta-llama/CodeLlama-7b-hf,30.775777578353882,VMV1,9,42
meta-llama/CodeLlama-7b-hf,30.7688570022583,IF9J,9,42
meta-llama/CodeLlama-7b-hf,30.89773964881897,BRI8,12,-1
meta-llama/CodeLlama-7b-hf,30.82927680015564,6FUP,12,-1
meta-llama/CodeLlama-7b-hf,65.27791023254395,R8US,6,-1
meta-llama/CodeLlama-7b-hf,65.01141667366028,XI3D,6,-1
meta-llama/CodeLlama-7b-hf,65.10611033439636,TIMF,5,-1
meta-llama/CodeLlama-7b-hf,65.58468103408813,5885,14,30
meta-llama/CodeLlama-7b-hf,65.87325859069824,JOQK,9,42
meta-llama/CodeLlama-7b-hf,65.3881618976593,RDHN,5,-1
meta-llama/CodeLlama-7b-hf,65.16702628135681,IF6L,8,-1
meta-llama/CodeLlama-7b-hf,65.35526514053345,FEJR,10,-1
meta-llama/CodeLlama-7b-hf,65.31439352035522,G8SL,6,-1
meta-llama/CodeLlama-7b-hf,65.32121253013611,BT4Z,5,-1
meta-llama/CodeLlama-7b-hf,65.43518996238708,TF5V,6,-1
meta-llama/CodeLlama-7b-hf,65.52093076705933,132M,3,30
meta-llama/CodeLlama-7b-hf,65.95964336395264,IP9T,10,-1
meta-llama/CodeLlama-7b-hf,65.55740475654602,ULLW,3,30
meta-llama/CodeLlama-7b-hf,65.4417142868042,XMV2,2,-1
meta-llama/CodeLlama-7b-hf,65.85344243049622,SNCE,6,-1
meta-llama/CodeLlama-7b-hf,65.39675951004028,WEN3,7,-1
meta-llama/CodeLlama-7b-hf,65.45644974708557,AUOS,11,-1
meta-llama/CodeLlama-7b-hf,64.82588839530945,OX75,2,-1
meta-llama/CodeLlama-7b-hf,65.34502816200256,T5IO,3,30
meta-llama/CodeLlama-7b-hf,135.4393527507782,D0YY,14,34
meta-llama/CodeLlama-7b-hf,134.38274955749512,850Q,8,-1
meta-llama/CodeLlama-7b-hf,135.11839056015015,X2QD,13,-1
meta-llama/CodeLlama-7b-hf,134.4913206100464,TVM9,6,-1
meta-llama/CodeLlama-7b-hf,134.48164129257202,O8SX,2,-1
meta-llama/CodeLlama-7b-hf,135.21894598007202,2JRC,11,-1
meta-llama/CodeLlama-7b-hf,134.99690628051758,0CHK,7,-1
meta-llama/CodeLlama-7b-hf,134.62073397636414,7BK7,7,-1
meta-llama/CodeLlama-7b-hf,135.18536400794983,753E,1,42
meta-llama/CodeLlama-7b-hf,135.4720757007599,P0FQ,12,-1
meta-llama/CodeLlama-7b-hf,136.07412815093994,GF6V,7,-1
meta-llama/CodeLlama-7b-hf,135.83490538597107,1Y85,13,-1
meta-llama/CodeLlama-7b-hf,134.5836639404297,YSPP,4,-1
meta-llama/CodeLlama-7b-hf,135.18928503990173,07G6,11,-1
meta-llama/CodeLlama-7b-hf,135.02568554878235,8ZDD,8,-1
meta-llama/CodeLlama-7b-hf,134.8221583366394,TECS,7,-1
meta-llama/CodeLlama-7b-hf,135.2759826183319,0WVO,13,-1
meta-llama/CodeLlama-7b-hf,135.01768445968628,0FRK,11,-1
meta-llama/CodeLlama-7b-hf,135.1308138370514,GOAY,3,34
meta-llama/CodeLlama-7b-hf,135.1766574382782,JTVM,12,-1
meta-llama/CodeLlama-7b-hf,275.2338562011719,M7YN,10,-1
meta-llama/CodeLlama-7b-hf,274.87033438682556,DICA,14,42
meta-llama/CodeLlama-7b-hf,275.40097737312317,D1LX,9,42
meta-llama/CodeLlama-7b-hf,274.66598176956177,9Q67,9,42
meta-llama/CodeLlama-7b-hf,274.8828959465027,3D7H,5,-1
meta-llama/CodeLlama-7b-hf,275.35516810417175,K3WQ,12,-1
meta-llama/CodeLlama-7b-hf,271.99282908439636,O691,1,-1
meta-llama/CodeLlama-7b-hf,273.01993012428284,OY9H,12,-1
meta-llama/CodeLlama-7b-hf,272.17462253570557,O5Z4,7,-1
meta-llama/CodeLlama-7b-hf,272.4243743419647,D0YF,3,42
meta-llama/CodeLlama-7b-hf,272.73208832740784,XNA0,12,-1
meta-llama/CodeLlama-7b-hf,272.31307673454285,8RZL,9,42
meta-llama/CodeLlama-7b-hf,273.3712627887726,YQNK,11,-1
meta-llama/CodeLlama-7b-hf,272.529727935791,2NS9,6,-1
meta-llama/CodeLlama-7b-hf,272.23571586608887,FXIH,5,-1
meta-llama/CodeLlama-7b-hf,272.9011731147766,TA0F,4,-1
meta-llama/CodeLlama-7b-hf,273.6782464981079,PNMT,3,42
meta-llama/CodeLlama-7b-hf,273.36335730552673,YNZI,6,-1
meta-llama/CodeLlama-7b-hf,273.9119837284088,MIT5,9,42
meta-llama/CodeLlama-7b-hf,273.2331726551056,DNY2,13,-1
