file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
62GL,gcc,12,-Os,1431,1431,1431.0,2.182704210281372
62GL,gcc,12,-Ofast,1522,1522,1522.0,2.274965047836304
753E,gcc,9,-O0,1448,1448,1448.0,1.7851147651672363
753E,gcc,9,-O1,1444,1444,1444.0,1.9580256938934328
753E,gcc,9,-O2,1438,1438,1438.0,2.0497827529907227
753E,gcc,9,-O3,1438,1438,1438.0,1.934579849243164
753E,gcc,9,-Os,1431,1431,1431.0,1.9711833000183103
753E,gcc,9,-Ofast,1522,1522,1522.0,2.0166895389556885
753E,gcc,10,-O0,1448,1448,1448.0,1.937328577041626
753E,gcc,10,-O1,1444,1444,1444.0,1.965639591217041
753E,gcc,10,-O2,1438,1438,1438.0,2.0892226696014404
753E,gcc,10,-O3,1438,1438,1438.0,2.10634183883667
753E,gcc,10,-Os,1431,1431,1431.0,2.0018069744110107
753E,gcc,10,-Ofast,1522,1522,1522.0,2.0964596271514893
753E,gcc,11,-O0,1451,1451,1451.0,1.8236215114593504
753E,gcc,11,-O1,1444,1444,1444.0,2.112054347991944
753E,gcc,11,-O2,1438,1438,1438.0,2.0074236392974854
753E,gcc,11,-O3,1438,1438,1438.0,2.063702344894409
753E,gcc,11,-Os,1431,1431,1431.0,2.0651838779449463
753E,gcc,11,-Ofast,1522,1522,1522.0,2.30408263206482
753E,gcc,12,-O0,1451,1451,1451.0,1.957435846328736
753E,gcc,12,-O1,1444,1444,1444.0,2.2464327812194824
753E,gcc,12,-O2,1438,1438,1438.0,2.255809545516968
753E,gcc,12,-O3,1438,1438,1438.0,2.3455939292907715
753E,gcc,12,-Os,1431,1431,1431.0,2.2198266983032227
753E,gcc,12,-Ofast,1522,1522,1522.0,2.272008419036865
8RZL,gcc,9,-O0,1448,1448,1448.0,1.8083653450012207
8RZL,gcc,9,-O1,1444,1444,1444.0,2.036210536956787
8RZL,gcc,9,-O2,1438,1438,1438.0,1.9816868305206297
8RZL,gcc,9,-O3,1438,1438,1438.0,2.027160882949829
8RZL,gcc,9,-Os,1431,1431,1431.0,1.9342372417449951
8RZL,gcc,9,-Ofast,1522,1522,1522.0,2.1321730613708496
8RZL,gcc,10,-O0,1448,1448,1448.0,1.858826160430908
8RZL,gcc,10,-O1,1444,1444,1444.0,2.0880730152130127
8RZL,gcc,10,-O2,1438,1438,1438.0,2.0645766258239746
8RZL,gcc,10,-O3,1438,1438,1438.0,2.092531681060791
8RZL,gcc,10,-Os,1431,1431,1431.0,2.038477659225464
8RZL,gcc,10,-Ofast,1522,1522,1522.0,2.022369861602783
8RZL,gcc,11,-O0,1451,1451,1451.0,1.813824892044068
8RZL,gcc,11,-O1,1444,1444,1444.0,2.194195508956909
8RZL,gcc,11,-O2,1438,1438,1438.0,2.077871322631836
8RZL,gcc,11,-O3,1438,1438,1438.0,2.0506842136383057
8RZL,gcc,11,-Os,1431,1431,1431.0,2.0766375064849854
8RZL,gcc,11,-Ofast,1522,1522,1522.0,2.160811185836792
8RZL,gcc,12,-O0,1451,1451,1451.0,2.112203359603882
8RZL,gcc,12,-O1,1444,1444,1444.0,2.2430548667907715
8RZL,gcc,12,-O2,1438,1438,1438.0,2.3191847801208496
8RZL,gcc,12,-O3,1438,1438,1438.0,2.366075038909912
8RZL,gcc,12,-Os,1431,1431,1431.0,2.2083566188812256
8RZL,gcc,12,-Ofast,1522,1522,1522.0,2.255400896072388
9Q67,gcc,9,-O0,1448,1448,1448.0,1.8942716121673584
9Q67,gcc,9,-O1,1444,1444,1444.0,1.9496119022369385
9Q67,gcc,9,-O2,1438,1438,1438.0,2.033989191055298
9Q67,gcc,9,-O3,1438,1438,1438.0,1.968472242355347
9Q67,gcc,9,-Os,1431,1431,1431.0,2.01421332359314
9Q67,gcc,9,-Ofast,1522,1522,1522.0,2.0541367530822754
9Q67,gcc,10,-O0,1448,1448,1448.0,1.8243255615234373
9Q67,gcc,10,-O1,1444,1444,1444.0,1.983088731765747
9Q67,gcc,10,-O2,1438,1438,1438.0,2.1902761459350586
9Q67,gcc,10,-O3,1438,1438,1438.0,2.175588846206665
9Q67,gcc,10,-Os,1431,1431,1431.0,2.027084827423096
9Q67,gcc,10,-Ofast,1522,1522,1522.0,2.123596668243408
9Q67,gcc,11,-O0,1451,1451,1451.0,1.98621678352356
9Q67,gcc,11,-O1,1444,1444,1444.0,2.1699001789093018
9Q67,gcc,11,-O2,1438,1438,1438.0,2.1277451515197754
9Q67,gcc,11,-O3,1438,1438,1438.0,2.068052053451538
9Q67,gcc,11,-Os,1431,1431,1431.0,2.1345691680908203
9Q67,gcc,11,-Ofast,1522,1522,1522.0,2.116182804107666
9Q67,gcc,12,-O0,1451,1451,1451.0,2.049143075942993
9Q67,gcc,12,-O1,1444,1444,1444.0,2.1894359588623047
9Q67,gcc,12,-O2,1438,1438,1438.0,2.4649593830108643
9Q67,gcc,12,-O3,1438,1438,1438.0,2.249493360519409
9Q67,gcc,12,-Os,1431,1431,1431.0,2.208775997161865
