file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
08OH,gcc,14,-O0,1451,1451,1451.0,0.041921854019165
08OH,gcc,14,-O1,1448,1448,1448.0,0.0465521812438964
08OH,gcc,14,-O2,1442,1442,1442.0,0.0473315715789794
08OH,gcc,14,-O3,1442,1442,1442.0,0.0466399192810058
08OH,gcc,14,-Os,1436,1436,1436.0,0.0501418113708496
08OH,gcc,14,-Ofast,1538,1538,1538.0,0.0477163791656494
0UJQ,gcc,14,-O0,1451,1451,1451.0,0.0467119216918945
0UJQ,gcc,14,-O1,1444,1444,1444.0,0.067521333694458
0UJQ,gcc,14,-O2,1438,1438,1438.0,0.0476205348968505
0UJQ,gcc,14,-O3,1438,1438,1438.0,0.0476112365722656
0UJQ,gcc,14,-Os,1431,1431,1431.0,0.0447728633880615
0UJQ,gcc,14,-Ofast,1534,1534,1534.0,0.0488970279693603
1F76,gcc,14,-O0,1451,1451,1451.0,0.0428836345672607
1F76,gcc,14,-O1,1448,1448,1448.0,0.0465376377105712
1F76,gcc,14,-O2,1442,1442,1442.0,0.0631229877471923
1F76,gcc,14,-O3,1442,1442,1442.0,0.0931830406188964
1F76,gcc,14,-Os,1436,1436,1436.0,0.0953869819641113
1F76,gcc,14,-Ofast,1538,1538,1538.0,0.0930840969085693
1UMC,gcc,14,-O0,1476,1476,1476.0,0.0836379528045654
1UMC,gcc,14,-O1,1444,1444,1444.0,0.0935242176055908
1UMC,gcc,14,-O2,1438,1438,1438.0,0.0935986042022705
1UMC,gcc,14,-O3,1438,1438,1438.0,0.0919549465179443
1UMC,gcc,14,-Os,1431,1431,1431.0,0.0925283432006836
1UMC,gcc,14,-Ofast,1534,1534,1534.0,0.0938861370086669
2PVT,gcc,14,-O0,1495,1495,1495.0,0.0815169811248779
2PVT,gcc,14,-O1,1495,1495,1495.0,0.0931370258331298
2PVT,gcc,14,-O2,1528,1528,1528.0,0.1052901744842529
2PVT,gcc,14,-O3,1436,1436,1436.0,0.0974459648132324
2PVT,gcc,14,-Os,1484,1484,1484.0,0.0571920871734619
2PVT,gcc,14,-Ofast,1532,1532,1532.0,0.0500698089599609
2ZJO,gcc,14,-O0,1476,1476,1476.0,0.0437259674072265
2ZJO,gcc,14,-O1,1444,1444,1444.0,0.0467095375061035
2ZJO,gcc,14,-O2,1438,1438,1438.0,0.0481390953063964
2ZJO,gcc,14,-O3,1438,1438,1438.0,0.04958176612854
2ZJO,gcc,14,-Os,1431,1431,1431.0,0.0471391677856445
2ZJO,gcc,14,-Ofast,1534,1534,1534.0,0.0479776859283447
3OTX,gcc,14,-O0,1445,1445,1445.0,0.04091477394104
3OTX,gcc,14,-O1,1281,1281,1281.0,0.0466103553771972
3OTX,gcc,14,-O2,1286,1286,1286.0,0.0480227470397949
3OTX,gcc,14,-O3,1286,1286,1286.0,0.047487735748291
3OTX,gcc,14,-Os,1251,1251,1251.0,0.0458767414093017
3OTX,gcc,14,-Ofast,1382,1382,1382.0,0.0475406646728515
66KQ,gcc,14,-O0,1445,1445,1445.0,0.0494260787963867
