file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
2OTN,gcc,10,-O2,1433,1433,1433.0,2.0175094604492188
2OTN,gcc,10,-O3,1433,1433,1433.0,2.0706863403320312
2OTN,gcc,10,-Os,1426,1426,1426.0,2.08699917793274
2OTN,gcc,10,-Ofast,1517,1517,1517.0,2.046875476837158
2OTN,gcc,11,-O0,1484,1484,1484.0,1.8733012676239007
2OTN,gcc,11,-O1,1441,1441,1441.0,2.145444393157959
2OTN,gcc,11,-O2,1433,1433,1433.0,2.179796934127808
2OTN,gcc,11,-O3,1433,1433,1433.0,1.8612959384918213
2OTN,gcc,11,-Os,1426,1426,1426.0,1.9074349403381348
2OTN,gcc,11,-Ofast,1517,1517,1517.0,1.9002678394317627
2OTN,gcc,12,-O0,1484,1484,1484.0,1.8589200973510744
2OTN,gcc,12,-O1,1441,1441,1441.0,2.054976224899292
2OTN,gcc,12,-O2,1433,1433,1433.0,2.032297134399414
2OTN,gcc,12,-O3,1433,1433,1433.0,2.1755964756011963
2OTN,gcc,12,-Os,1426,1426,1426.0,2.0973870754241943
2OTN,gcc,12,-Ofast,1517,1517,1517.0,2.0799949169158936
39KN,gcc,9,-O0,1589,1589,1589.0,1.6669621467590332
39KN,gcc,9,-O1,1636,1636,1636.0,1.799438238143921
39KN,gcc,9,-O2,1711,1711,1711.0,1.975833415985108
39KN,gcc,9,-O3,1699,1699,1699.0,2.548467874526977
39KN,gcc,9,-Os,1660,1660,1660.0,2.18876576423645
39KN,gcc,9,-Ofast,1783,1783,1783.0,2.050931692123413
39KN,gcc,10,-O0,1589,1589,1589.0,1.797154664993286
39KN,gcc,10,-O1,1636,1636,1636.0,1.9141530990600584
39KN,gcc,10,-O2,1699,1699,1699.0,2.173736572265625
39KN,gcc,10,-O3,1699,1699,1699.0,2.377976417541504
39KN,gcc,10,-Os,1660,1660,1660.0,2.280797243118286
39KN,gcc,10,-Ofast,1783,1783,1783.0,2.4919745922088623
39KN,gcc,11,-O0,1595,1595,1595.0,1.8398685455322263
39KN,gcc,11,-O1,1636,1636,1636.0,2.211660146713257
39KN,gcc,11,-O2,1699,1699,1699.0,2.146389961242676
39KN,gcc,11,-O3,1699,1699,1699.0,2.186455249786377
39KN,gcc,11,-Os,1660,1660,1660.0,1.807793378829956
39KN,gcc,11,-Ofast,1783,1783,1783.0,2.210775136947632
39KN,gcc,12,-O0,1595,1595,1595.0,1.7823493480682373
39KN,gcc,12,-O1,1636,1636,1636.0,2.208804130554199
39KN,gcc,12,-O2,1699,1699,1699.0,2.4889793395996094
39KN,gcc,12,-O3,1699,1699,1699.0,2.47666072845459
39KN,gcc,12,-Os,1660,1660,1660.0,2.5625483989715576
39KN,gcc,12,-Ofast,1783,1783,1783.0,2.516306161880493
3XAO,gcc,9,-O0,1455,1455,1455.0,1.7429871559143066
3XAO,gcc,9,-O1,1451,1451,1451.0,1.872276306152344
3XAO,gcc,9,-O2,1446,1446,1446.0,1.953840494155884
3XAO,gcc,9,-O3,1446,1446,1446.0,2.0611355304718018
3XAO,gcc,9,-Os,1438,1438,1438.0,2.0102927684783936
3XAO,gcc,9,-Ofast,1530,1530,1530.0,2.131439685821533
3XAO,gcc,10,-O0,1455,1455,1455.0,1.8679003715515137
3XAO,gcc,10,-O1,1451,1451,1451.0,2.00466251373291
3XAO,gcc,10,-O2,1446,1446,1446.0,1.980363607406616
3XAO,gcc,10,-O3,1446,1446,1446.0,2.0181469917297363
3XAO,gcc,10,-Os,1438,1438,1438.0,2.032719612121582
3XAO,gcc,10,-Ofast,1530,1530,1530.0,1.952540636062622
3XAO,gcc,11,-O0,1458,1458,1458.0,1.8921432495117188
3XAO,gcc,11,-O1,1451,1451,1451.0,1.951615333557129
3XAO,gcc,11,-O2,1446,1446,1446.0,2.0574188232421875
3XAO,gcc,11,-O3,1446,1446,1446.0,1.921430587768555
3XAO,gcc,11,-Os,1438,1438,1438.0,1.8666625022888184
3XAO,gcc,11,-Ofast,1530,1530,1530.0,1.9559004306793213
3XAO,gcc,12,-O0,1458,1458,1458.0,2.1964099407196045
3XAO,gcc,12,-O1,1451,1451,1451.0,2.1990435123443604
3XAO,gcc,12,-O2,1446,1446,1446.0,2.212354183197021
3XAO,gcc,12,-O3,1446,1446,1446.0,2.146223783493042
3XAO,gcc,12,-Os,1438,1438,1438.0,2.3026046752929688
3XAO,gcc,12,-Ofast,1530,1530,1530.0,2.1798579692840576
3YGS,gcc,9,-O0,1697,1697,1697.0,1.7034518718719482
3YGS,gcc,9,-O1,1763,1763,1763.0,2.19264554977417
3YGS,gcc,9,-O2,1747,1747,1747.0,2.564228773117065
3YGS,gcc,9,-O3,1792,1792,1792.0,2.624488353729248
3YGS,gcc,9,-Os,1585,1585,1585.0,2.2979214191436768
3YGS,gcc,9,-Ofast,1880,1880,1880.0,2.589819431304932
3YGS,gcc,10,-O0,1697,1697,1697.0,1.5745058059692385
3YGS,gcc,10,-O1,1762,1762,1762.0,1.9183897972106927
3YGS,gcc,10,-O2,1739,1739,1739.0,2.189826250076294
3YGS,gcc,10,-O3,1724,1724,1724.0,2.515639305114746
3YGS,gcc,10,-Os,1587,1587,1587.0,2.1681623458862305
3YGS,gcc,10,-Ofast,1812,1812,1812.0,2.565075635910034
3YGS,gcc,11,-O0,1700,1700,1700.0,1.9985432624816888
3YGS,gcc,11,-O1,1762,1762,1762.0,2.3886830806732178
3YGS,gcc,11,-O2,1735,1735,1735.0,2.271482467651367
3YGS,gcc,11,-O3,1708,1708,1708.0,2.6973843574523926
3YGS,gcc,11,-Os,1587,1587,1587.0,2.476094961166382
3YGS,gcc,11,-Ofast,1796,1796,1796.0,2.7899537086486816
3YGS,gcc,12,-O0,1700,1700,1700.0,2.29174280166626
3YGS,gcc,12,-O1,1762,1762,1762.0,2.6350557804107666
3YGS,gcc,12,-O2,1680,1680,1680.0,3.011256456375122
3YGS,gcc,12,-O3,1733,1733,1733.0,3.4912972450256348
3YGS,gcc,12,-Os,1594,1594,1594.0,2.8775665760040283
3YGS,gcc,12,-Ofast,1821,1821,1821.0,3.7649104595184326
4C28,gcc,9,-O0,1459,1459,1459.0,1.6843280792236328
