Regression Analysis Report
Generated on: 2025-04-25 07:11:03
============================================================

Found 334 regression(s):

50. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM4.c | gcc-12 | Seconds until this regression: 772.4103627204895
51. Regression found (-Os worse than -O2): ../../code/codes/BRAM | BRAM5.c | gcc-9 | Seconds until this regression: 787.0439944267273
52. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM5.c | gcc-10 | Seconds until this regression: 787.0439944267273
53. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM5.c | gcc-11 | Seconds until this regression: 787.0439944267273
54. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM5.c | gcc-12 | Seconds until this regression: 787.0439944267273
55. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM6.c | gcc-9 | Seconds until this regression: 798.7777881622314
56. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM6.c | gcc-10 | Seconds until this regression: 798.7777881622314
57. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM6.c | gcc-11 | Seconds until this regression: 798.7777881622314
58. Regression found (-Os worse than -O1): ../../code/codes/BRAM | BRAM6.c | gcc-12 | Seconds until this regression: 798.7777881622314
59. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM7.c | gcc-9 | Seconds until this regression: 828.3846397399902
60. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM7.c | gcc-10 | Seconds until this regression: 828.3846397399902
61. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM7.c | gcc-11 | Seconds until this regression: 828.3846397399902
62. Regression found (-Os worse than -O1): ../../code/codes/BRAM | BRAM7.c | gcc-12 | Seconds until this regression: 828.3846397399902
63. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM8.c | gcc-9 | Seconds until this regression: 839.1677660942078
64. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM8.c | gcc-10 | Seconds until this regression: 839.1677660942078
65. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM8.c | gcc-11 | Seconds until this regression: 839.1677660942078
66. Regression found (-Os worse than -O1): ../../code/codes/BRAM | BRAM8.c | gcc-12 | Seconds until this regression: 839.1677660942078
67. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM9.c | gcc-9 | Seconds until this regression: 859.1317746639252
68. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM9.c | gcc-10 | Seconds until this regression: 859.1317746639252
69. Regression found (-Os worse than -O3): ../../code/codes/BRAM | BRAM9.c | gcc-11 | Seconds until this regression: 859.1317746639252
70. Regression found (-Os worse than -O1): ../../code/codes/BRAM | BRAM9.c | gcc-12 | Seconds until this regression: 859.1317746639252
71. Regression found (-Os worse than -O2): ../../code/codes/YNAQ | YNAQ2.c | gcc-9 | Seconds until this regression: 888.4088830947876
72. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ2.c | gcc-10 | Seconds until this regression: 888.4088830947876
73. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ2.c | gcc-11 | Seconds until this regression: 888.4088830947876
74. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ2.c | gcc-12 | Seconds until this regression: 888.4088830947876
75. Regression found (-Os worse than -O2): ../../code/codes/YNAQ | YNAQ3.c | gcc-9 | Seconds until this regression: 897.5824677944183
76. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ3.c | gcc-10 | Seconds until this regression: 897.5824677944183
77. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ3.c | gcc-11 | Seconds until this regression: 897.5824677944183
78. Regression found (-Os worse than -O3): ../../code/codes/YNAQ | YNAQ3.c | gcc-12 | Seconds until this regression: 897.5824677944183
79. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO7.c | gcc-9 | Seconds until this regression: 1202.6490840911865
80. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO7.c | gcc-10 | Seconds until this regression: 1202.6490840911865
81. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO7.c | gcc-11 | Seconds until this regression: 1202.6490840911865
82. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO7.c | gcc-12 | Seconds until this regression: 1202.6490840911865
83. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO8.c | gcc-9 | Seconds until this regression: 1208.9459655284882
84. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO8.c | gcc-10 | Seconds until this regression: 1208.9459655284882
85. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO8.c | gcc-11 | Seconds until this regression: 1208.9459655284882
86. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO8.c | gcc-12 | Seconds until this regression: 1208.9459655284882
87. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO11.c | gcc-9 | Seconds until this regression: 1279.3319897651672
88. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO11.c | gcc-10 | Seconds until this regression: 1279.3319897651672
89. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO11.c | gcc-11 | Seconds until this regression: 1279.3319897651672
90. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO11.c | gcc-12 | Seconds until this regression: 1279.3319897651672
91. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO12.c | gcc-9 | Seconds until this regression: 1316.0301325321198
92. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO12.c | gcc-10 | Seconds until this regression: 1316.0301325321198
93. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO12.c | gcc-11 | Seconds until this regression: 1316.0301325321198
94. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO12.c | gcc-12 | Seconds until this regression: 1316.0301325321198
95. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO13.c | gcc-9 | Seconds until this regression: 1329.5970590114594
96. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO13.c | gcc-10 | Seconds until this regression: 1329.5970590114594
97. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO13.c | gcc-11 | Seconds until this regression: 1329.5970590114594
98. Regression found (-Os worse than -O0): ../../code/codes/YQXO | YQXO13.c | gcc-12 | Seconds until this regression: 1329.5970590114594
99. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO14.c | gcc-9 | Seconds until this regression: 1343.4322776794434
100. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO14.c | gcc-10 | Seconds until this regression: 1343.4322776794434
101. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO14.c | gcc-11 | Seconds until this regression: 1343.4322776794434
102. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO14.c | gcc-12 | Seconds until this regression: 1343.4322776794434
103. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO15.c | gcc-9 | Seconds until this regression: 1353.9611732959747
104. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO15.c | gcc-10 | Seconds until this regression: 1353.9611732959747
105. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO15.c | gcc-11 | Seconds until this regression: 1353.9611732959747
106. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO15.c | gcc-12 | Seconds until this regression: 1353.9611732959747
107. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO16.c | gcc-9 | Seconds until this regression: 1370.162433385849
108. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO16.c | gcc-10 | Seconds until this regression: 1370.162433385849
109. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO16.c | gcc-11 | Seconds until this regression: 1370.162433385849
110. Regression found (-Os worse than -O1): ../../code/codes/YQXO | YQXO16.c | gcc-12 | Seconds until this regression: 1370.162433385849
111. Regression found (-Os worse than -O2): ../../code/codes/FNTB | FNTB1.c | gcc-9 | Seconds until this regression: 2002.8389270305634
112. Regression found (-Os worse than -O2): ../../code/codes/FNTB | FNTB1.c | gcc-10 | Seconds until this regression: 2002.8389270305634
113. Regression found (-Os worse than -O2): ../../code/codes/FNTB | FNTB1.c | gcc-11 | Seconds until this regression: 2002.8389270305634
114. Regression found (-Os worse than -O2): ../../code/codes/FNTB | FNTB1.c | gcc-12 | Seconds until this regression: 2002.8389270305634
115. Regression found (-Os worse than -O2): ../../code/codes/OBPM | OBPM2.c | gcc-9 | Seconds until this regression: 2654.497696876526
116. Regression found (-Os worse than -O3): ../../code/codes/OBPM | OBPM2.c | gcc-10 | Seconds until this regression: 2654.497696876526
117. Regression found (-Os worse than -O3): ../../code/codes/OBPM | OBPM2.c | gcc-11 | Seconds until this regression: 2654.497696876526
118. Regression found (-Os worse than -O3): ../../code/codes/OBPM | OBPM2.c | gcc-12 | Seconds until this regression: 2654.497696876526
119. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI1.c | gcc-9 | Seconds until this regression: 3038.8521041870117
120. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI1.c | gcc-10 | Seconds until this regression: 3038.8521041870117
121. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI1.c | gcc-11 | Seconds until this regression: 3038.8521041870117
122. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI1.c | gcc-12 | Seconds until this regression: 3038.8521041870117
123. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI2.c | gcc-9 | Seconds until this regression: 3054.4663944244385
124. Regression found (-Os worse than -O0): ../../code/codes/CPXI | CPXI2.c | gcc-10 | Seconds until this regression: 3054.4663944244385
