id,Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
0,S1BF0.out,10519369,6134827,68869,18258,1203661
1,S1BF1.out,1542752,1199490,66441,18726,217323
2,S1BF2.out,9993501,6160629,86574,35851,1207591
3,S1BF3.out,27372764,41505974,463125,271323,3877273
4,S1BF4.out,10865454,6129365,88095,32773,1202342
5,S1BF5.out,10007066,7140737,75072,20365,1204830
6,S1BF6.out,1579048,1197233,66296,24535,216453
7,S1BF7.out,1769261,1201367,71367,28691,217303
8,S1BF8.out,1483655,1193371,70390,15534,215827
9,S1BF9.out,1422933,1189424,66911,14901,215153
10,S1BF10.out,10598432,6135638,68444,17393,1203241
11,S1BF11.out,1538737,1197107,66112,19229,216818
12,S1BF12.out,2066644,1196510,68323,29361,216299
13,S1BF13.out,2372804,1611713,69359,17998,299029
14,S1BF14.out,10696469,6164977,80168,19672,1208634
15,S1BF15.out,1462647,1202591,66123,14470,217162
16,S1BF16.out,1465009,1195933,60466,14289,216423
17,S1BF17.out,10699142,6125979,66637,23120,1201968
18,S1BF18.out,1454552,1208220,61644,12648,217707
19,S1BF19.out,10625612,6135306,68846,14718,1203446
20,S1BF20.out,1768705,1195902,73111,27086,216547
