id,Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
2,ZZAC2.out,2078058230,1060613611,921049,307526,276227122
5,ZZAC5.out,25914956,28334490,542618,242675,5894716
8,ZZAC8.out,25229399,24862062,531172,186940,5289771
9,ZZAC9.out,159194471,314223303,1249374,610962,66035260
12,ZZAC12.out,22924814,24720155,488807,182804,5262033
13,ZZAC13.out,3555180508,4998225356,16422009,9214652,704518041
14,ZZAC14.out,22163168,25193920,472588,135028,5356261
19,ZZAC19.out,7982319188,15105711023,1214885,387244,2186398655
20,ZZAC20.out,23599128,25722665,507696,201729,5433175
