Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
S1BF0.out,11082073,6139343,75405,28132,1204219
S1BF0.out,10528811,6133992,69200,14040,1203463
S1BF0.out,11055058,6139433,77264,25763,1204116
S1BF0.out,11200532,6160005,76379,22458,1207619
S1BF0.out,10646300,6136944,72738,14870,1203807
S1BF0.out,10499683,6140315,71366,14136,1203841
S1BF0.out,10650534,6154841,67802,12871,1206392
S1BF0.out,10538882,6127562,71296,11950,1201899
S1BF0.out,10531341,6127449,68789,12143,1202387
S1BF0.out,10614962,6118343,66383,18934,1200468
S1BF0.out,10561313,6118627,67123,16885,1200250
S1BF0.out,10655933,6184789,78406,14377,1211884
S1BF0.out,10782341,6157262,70752,12258,1207910
S1BF0.out,10410842,6139105,74657,15014,1204448
S1BF0.out,10523698,6146363,72085,15456,1205437
S1BF0.out,10627618,6131579,68089,14513,1203031
S1BF0.out,10683654,6163242,68442,17567,1208642
S1BF0.out,10511768,6126258,72078,17701,1201582
S1BF0.out,10667615,6127947,74683,21140,1202390
S1BF0.out,10762498,6127273,66386,17592,1201719
S1BF0.out,10837386,6145612,70066,19077,1204633
S1BF0.out,10815856,6135805,71094,18359,1203746
S1BF0.out,10667498,6138992,73454,20700,1204288
S1BF0.out,10857099,6150616,72435,19264,1206142
S1BF0.out,10623467,6140889,76856,27905,1203999
S1BF0.out,11210341,6131453,74111,34693,1202474
S1BF0.out,11141918,6149450,76866,41473,1206010
S1BF0.out,10819614,6129446,75020,39752,1202633
S1BF0.out,10667793,6172654,80865,28178,1209346
S1BF0.out,11082853,6153220,78348,29053,1207164
S1BF0.out,10644914,6121270,77148,25896,1200897
S1BF0.out,10675980,6152789,75185,15386,1205707
S1BF0.out,10662283,6151241,70950,13491,1206041
S1BF0.out,10616703,6140207,64817,10752,1204456
S1BF0.out,10762190,6139170,66076,11443,1203796
S1BF0.out,10520872,6170774,73203,15194,1208927
S1BF0.out,10545717,6154617,75014,13260,1206696
S1BF0.out,10544121,6129582,64394,11497,1202697
S1BF0.out,10475007,6134187,67928,12287,1203521
S1BF0.out,10689327,6130468,65775,12790,1202689
S1BF0.out,10580763,6149769,70544,14025,1205627
S1BF0.out,10725999,6136995,70104,14478,1203911
S1BF0.out,10567957,6130836,72640,16858,1202796
S1BF0.out,10582369,6134068,63260,12540,1203253
S1BF0.out,10648886,6137896,74069,15271,1203678
S1BF0.out,10732537,6148889,69908,17083,1205594
S1BF0.out,10774532,6149808,78107,20417,1205647
S1BF0.out,9686434,6164025,80473,31337,1207850
S1BF0.out,9080579,6137374,79389,29978,1203533
S1BF0.out,11353446,6198438,78636,40182,1213157
S1BF0.out,9296846,6130510,80927,28586,1202714
S1BF0.out,10462868,6143156,75437,27460,1205007
S1BF0.out,11069705,6141287,74977,22725,1204135
S1BF0.out,10631060,6136351,72492,14874,1203090
S1BF0.out,10494619,6128379,68106,12178,1202520
S1BF0.out,10516789,6158426,68054,12470,1206668
S1BF0.out,10604099,6151675,70792,13534,1206234
