folder_id,num_regression,time_spent,mean_time_program,std_time,regression,model_name
DDRA,4,460.19537234306335,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
EFDU,3,426.4922547340393,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
LQNZ,5,429.2479302883148,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
SJLS,6,465.3788676261902,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
AFKX,4,389.24867510795593,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
EGED,3,407.1667900085449,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
LYMA,6,488.9851019382477,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
CKQW,2,405.0182704925537,0,0,True,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
MORH,3,566.995364189148,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
SFMJ,3,435.9591760635376,0,0,True,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
KXRD,5,331.9522113800049,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
PSWL,3,617.7312808036804,0,0,True,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
ALAA,3,524.0002524852753,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
UQEI,7,453.4035980701447,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
PMNK,10,603.1262106895447,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
BZBI,2,484.7440123558045,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
KNGG,7,416.7600693702698,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
OEYU,4,475.12413215637207,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
IHHL,10,561.4474112987518,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
SVVO,9,431.113335609436,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
CNJI,4,511.40857458114624,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
GYEB,5,377.403737783432,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
OKSB,3,463.04928064346313,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
PFGS,4,376.1970496177673,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
DYVN,4,536.583619594574,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
HFHW,3,429.25268936157227,0,0,False,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct
