model,regression,type
LLAMA3.1,31.7049045562744141,chain
DEEPSEEKCODERV2,3086.2093764305114,chain
LLAMA3.1,379.03571677207947,single
DEEPSEEKCODERV1,485.15766048431396,single
DEEPSEEKCODERV2,430.28977274894714,single
DEEPSEEKR1,5739.142912387848,single
CSMITH, 6.694820880889893,single
YARPGEN, 18.24825143814087,single
