folder_id,file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
LIXZ,LIXZ2.c,gcc,9,-O0,1487,1487,1487.0,1.6766960620880127
LIXZ,LIXZ2.c,gcc,9,-O1,1455,1455,1455.0,1.9608120918273928
LIXZ,LIXZ2.c,gcc,9,-O2,1446,1446,1446.0,2.0578718185424805
LIXZ,LIXZ2.c,gcc,9,-O3,1446,1446,1446.0,2.003361701965332
LIXZ,LIXZ2.c,gcc,9,-Os,1440,1440,1440.0,1.910089492797852
LIXZ,LIXZ2.c,gcc,9,-Ofast,1530,1530,1530.0,2.3117332458496094
LIXZ,LIXZ2.c,gcc,10,-O0,1487,1487,1487.0,1.6875016689300537
LIXZ,LIXZ2.c,gcc,10,-O1,1455,1455,1455.0,1.9092142581939693
LIXZ,LIXZ2.c,gcc,10,-O2,1446,1446,1446.0,2.1576292514801025
LIXZ,LIXZ2.c,gcc,10,-O3,1446,1446,1446.0,1.7028093338012695
LIXZ,LIXZ2.c,gcc,10,-Os,1441,1441,1441.0,2.0364797115325928
LIXZ,LIXZ2.c,gcc,10,-Ofast,1530,1530,1530.0,2.102201223373413
LIXZ,LIXZ2.c,gcc,11,-O0,1490,1490,1490.0,1.7364249229431152
LIXZ,LIXZ2.c,gcc,11,-O1,1455,1455,1455.0,1.9140825271606443
LIXZ,LIXZ2.c,gcc,11,-O2,1446,1446,1446.0,1.9625244140625
LIXZ,LIXZ2.c,gcc,11,-O3,1446,1446,1446.0,2.111234426498413
LIXZ,LIXZ2.c,gcc,11,-Os,1437,1437,1437.0,2.07217025756836
LIXZ,LIXZ2.c,gcc,11,-Ofast,1530,1530,1530.0,2.0147275924682617
LIXZ,LIXZ2.c,gcc,12,-O0,1490,1490,1490.0,1.921269416809082
LIXZ,LIXZ2.c,gcc,12,-O1,1455,1455,1455.0,2.3252711296081543
LIXZ,LIXZ2.c,gcc,12,-O2,1446,1446,1446.0,2.2160966396331787
LIXZ,LIXZ2.c,gcc,12,-O3,1446,1446,1446.0,1.8046464920043943
LIXZ,LIXZ2.c,gcc,12,-Os,1437,1437,1437.0,1.7857403755187988
LIXZ,LIXZ2.c,gcc,12,-Ofast,1530,1530,1530.0,1.7584939002990725
AGTG,AGTG1.c,gcc,9,-O0,1454,1454,1454.0,1.333702802658081
AGTG,AGTG1.c,gcc,9,-O1,1445,1445,1445.0,1.4290478229522705
AGTG,AGTG1.c,gcc,9,-O2,1439,1439,1439.0,1.4721262454986572
AGTG,AGTG1.c,gcc,9,-O3,1439,1439,1439.0,1.5140674114227295
AGTG,AGTG1.c,gcc,9,-Os,1432,1432,1432.0,1.4179587364196775
AGTG,AGTG1.c,gcc,9,-Ofast,1523,1523,1523.0,1.550440549850464
AGTG,AGTG1.c,gcc,10,-O0,1454,1454,1454.0,1.4780378341674805
AGTG,AGTG1.c,gcc,10,-O1,1445,1445,1445.0,1.7649149894714355
AGTG,AGTG1.c,gcc,10,-O2,1439,1439,1439.0,1.5938379764556885
AGTG,AGTG1.c,gcc,10,-O3,1439,1439,1439.0,1.5177853107452393
AGTG,AGTG1.c,gcc,10,-Os,1432,1432,1432.0,1.5139431953430176
AGTG,AGTG1.c,gcc,10,-Ofast,1523,1523,1523.0,1.7120275497436523
AGTG,AGTG1.c,gcc,11,-O0,1457,1457,1457.0,1.528773307800293
AGTG,AGTG1.c,gcc,11,-O1,1445,1445,1445.0,1.511831283569336
AGTG,AGTG1.c,gcc,11,-O2,1439,1439,1439.0,1.552743434906006
AGTG,AGTG1.c,gcc,11,-O3,1439,1439,1439.0,1.4740662574768066
AGTG,AGTG1.c,gcc,11,-Os,1432,1432,1432.0,1.464993238449097
AGTG,AGTG1.c,gcc,11,-Ofast,1523,1523,1523.0,1.4888908863067627
AGTG,AGTG1.c,gcc,12,-O0,1457,1457,1457.0,1.555776834487915
AGTG,AGTG1.c,gcc,12,-O1,1445,1445,1445.0,1.5904262065887451
AGTG,AGTG1.c,gcc,12,-O2,1439,1439,1439.0,1.5886180400848389
AGTG,AGTG1.c,gcc,12,-O3,1439,1439,1439.0,1.593780517578125
AGTG,AGTG1.c,gcc,12,-Os,1432,1432,1432.0,1.5403175354003906
AGTG,AGTG1.c,gcc,12,-Ofast,1523,1523,1523.0,1.6318976879119873
HSQC,HSQC1.c,gcc,9,-O0,1454,1454,1454.0,1.4882497787475586
HSQC,HSQC1.c,gcc,9,-O1,1445,1445,1445.0,1.675884485244751
HSQC,HSQC1.c,gcc,9,-O2,1439,1439,1439.0,1.5483510494232178
HSQC,HSQC1.c,gcc,9,-O3,1439,1439,1439.0,1.5931379795074463
HSQC,HSQC1.c,gcc,9,-Os,1432,1432,1432.0,1.5664386749267578
HSQC,HSQC1.c,gcc,9,-Ofast,1523,1523,1523.0,1.5055909156799316
HSQC,HSQC1.c,gcc,10,-O0,1454,1454,1454.0,1.439530849456787
HSQC,HSQC1.c,gcc,10,-O1,1445,1445,1445.0,1.5030806064605713
HSQC,HSQC1.c,gcc,10,-O2,1439,1439,1439.0,1.6470651626586914
HSQC,HSQC1.c,gcc,10,-O3,1439,1439,1439.0,1.4723317623138428
HSQC,HSQC1.c,gcc,10,-Os,1432,1432,1432.0,1.4420504570007324
HSQC,HSQC1.c,gcc,10,-Ofast,1523,1523,1523.0,1.560924768447876
HSQC,HSQC1.c,gcc,11,-O0,1457,1457,1457.0,1.4586899280548096
HSQC,HSQC1.c,gcc,11,-O1,1445,1445,1445.0,1.5090181827545166
HSQC,HSQC1.c,gcc,11,-O2,1439,1439,1439.0,1.642956018447876
HSQC,HSQC1.c,gcc,11,-O3,1439,1439,1439.0,1.5578229427337646
HSQC,HSQC1.c,gcc,11,-Os,1432,1432,1432.0,1.564681053161621
HSQC,HSQC1.c,gcc,11,-Ofast,1523,1523,1523.0,1.658092975616455
HSQC,HSQC1.c,gcc,12,-O0,1457,1457,1457.0,1.649089813232422
HSQC,HSQC1.c,gcc,12,-O1,1445,1445,1445.0,1.6930458545684814
HSQC,HSQC1.c,gcc,12,-O2,1439,1439,1439.0,1.929844617843628
HSQC,HSQC1.c,gcc,12,-O3,1439,1439,1439.0,1.6869900226593018
HSQC,HSQC1.c,gcc,12,-Os,1432,1432,1432.0,1.6554157733917236
HSQC,HSQC1.c,gcc,12,-Ofast,1523,1523,1523.0,1.87015438079834
JYTA,JYTA1.c,gcc,9,-O0,1448,1448,1448.0,1.39687180519104
JYTA,JYTA1.c,gcc,9,-O1,1444,1444,1444.0,1.418022632598877
