file,compiler,version,optimization,bin_min_size,bin_max_size,bin_mean_size,time
05WH,gcc,9,-O0,1447,1447,1447.0,1.7002086639404297
05WH,gcc,9,-O1,1450,1450,1450.0,1.9615812301635744
05WH,gcc,9,-O2,1433,1433,1433.0,2.037227392196656
05WH,gcc,9,-O3,1433,1433,1433.0,2.075048446655273
05WH,gcc,9,-Os,1426,1426,1426.0,1.9862046241760247
05WH,gcc,9,-Ofast,1517,1517,1517.0,2.02256441116333
05WH,gcc,10,-O0,1447,1447,1447.0,1.937844038009644
05WH,gcc,10,-O1,1450,1450,1450.0,2.0837080478668213
05WH,gcc,10,-O2,1433,1433,1433.0,2.007556915283203
05WH,gcc,10,-O3,1433,1433,1433.0,2.067261219024658
05WH,gcc,10,-Os,1426,1426,1426.0,2.055093288421631
05WH,gcc,10,-Ofast,1517,1517,1517.0,2.106494903564453
05WH,gcc,11,-O0,1450,1450,1450.0,1.9357333183288568
05WH,gcc,11,-O1,1450,1450,1450.0,2.0820252895355225
05WH,gcc,11,-O2,1433,1433,1433.0,2.162391662597656
05WH,gcc,11,-O3,1433,1433,1433.0,2.0979881286621094
05WH,gcc,11,-Os,1426,1426,1426.0,2.058718204498291
05WH,gcc,11,-Ofast,1517,1517,1517.0,2.158027172088623
05WH,gcc,12,-O0,1450,1450,1450.0,2.107686281204224
05WH,gcc,12,-O1,1450,1450,1450.0,2.23978853225708
05WH,gcc,12,-O2,1433,1433,1433.0,2.3020946979522705
05WH,gcc,12,-O3,1433,1433,1433.0,1.9681155681610107
05WH,gcc,12,-Os,1426,1426,1426.0,1.993123769760132
05WH,gcc,12,-Ofast,1517,1517,1517.0,2.2360026836395264
0XBY,gcc,9,-O0,1448,1448,1448.0,1.7568728923797607
0XBY,gcc,9,-O1,1444,1444,1444.0,2.01397967338562
0XBY,gcc,9,-O2,1438,1438,1438.0,2.084079504013061
0XBY,gcc,9,-O3,1438,1438,1438.0,1.851962327957153
0XBY,gcc,9,-Os,1431,1431,1431.0,1.8823747634887693
0XBY,gcc,9,-Ofast,1522,1522,1522.0,2.0532422065734863
0XBY,gcc,10,-O0,1448,1448,1448.0,1.8651294708251955
0XBY,gcc,10,-O1,1444,1444,1444.0,1.871198892593384
0XBY,gcc,10,-O2,1438,1438,1438.0,1.9234380722045896
0XBY,gcc,10,-O3,1438,1438,1438.0,2.0656216144561768
0XBY,gcc,10,-Os,1431,1431,1431.0,2.08743667602539
0XBY,gcc,10,-Ofast,1522,1522,1522.0,2.119345188140869
0XBY,gcc,11,-O0,1451,1451,1451.0,2.0514261722564697
0XBY,gcc,11,-O1,1444,1444,1444.0,2.224916696548462
0XBY,gcc,11,-O2,1438,1438,1438.0,2.06105637550354
0XBY,gcc,11,-O3,1438,1438,1438.0,2.0783846378326416
0XBY,gcc,11,-Os,1431,1431,1431.0,2.122236967086792
0XBY,gcc,11,-Ofast,1522,1522,1522.0,2.1254591941833496
0XBY,gcc,12,-O0,1451,1451,1451.0,2.077966690063477
0XBY,gcc,12,-O1,1444,1444,1444.0,2.2677252292633057
0XBY,gcc,12,-O2,1438,1438,1438.0,2.411165952682495
0XBY,gcc,12,-O3,1438,1438,1438.0,2.2988688945770264
0XBY,gcc,12,-Os,1431,1431,1431.0,2.1449246406555176
0XBY,gcc,12,-Ofast,1522,1522,1522.0,2.400071620941162
3YJ2,gcc,9,-O0,1448,1448,1448.0,1.9004557132720947
3YJ2,gcc,9,-O1,1444,1444,1444.0,1.943381309509277
3YJ2,gcc,9,-O2,1438,1438,1438.0,2.0098228454589844
3YJ2,gcc,9,-O3,1438,1438,1438.0,2.02262282371521
3YJ2,gcc,9,-Os,1431,1431,1431.0,1.8757216930389404
3YJ2,gcc,9,-Ofast,1522,1522,1522.0,1.9857304096221924
3YJ2,gcc,10,-O0,1448,1448,1448.0,1.922844409942627
3YJ2,gcc,10,-O1,1444,1444,1444.0,2.0774528980255127
3YJ2,gcc,10,-O2,1438,1438,1438.0,2.071228265762329
3YJ2,gcc,10,-O3,1438,1438,1438.0,2.1192269325256348
3YJ2,gcc,10,-Os,1431,1431,1431.0,2.116891622543335
3YJ2,gcc,10,-Ofast,1522,1522,1522.0,2.094273805618286
3YJ2,gcc,11,-O0,1451,1451,1451.0,1.8945353031158447
3YJ2,gcc,11,-O1,1444,1444,1444.0,2.0905230045318604
3YJ2,gcc,11,-O2,1438,1438,1438.0,2.144355297088623
3YJ2,gcc,11,-O3,1438,1438,1438.0,2.2772226333618164
3YJ2,gcc,11,-Os,1431,1431,1431.0,1.832014083862305
3YJ2,gcc,11,-Ofast,1522,1522,1522.0,2.027097463607788
3YJ2,gcc,12,-O0,1451,1451,1451.0,2.013136625289917
3YJ2,gcc,12,-O1,1444,1444,1444.0,2.253040313720703
3YJ2,gcc,12,-O2,1438,1438,1438.0,2.3910367488861084
3YJ2,gcc,12,-O3,1438,1438,1438.0,2.269283056259156
3YJ2,gcc,12,-Os,1431,1431,1431.0,2.259030103683472
3YJ2,gcc,12,-Ofast,1522,1522,1522.0,2.4456992149353027
684A,gcc,9,-O0,1448,1448,1448.0,1.9326951503753664
684A,gcc,9,-O1,1441,1441,1441.0,1.9460203647613523
684A,gcc,9,-O2,1433,1433,1433.0,1.983132123947144
684A,gcc,9,-O3,1433,1433,1433.0,2.067575693130493
684A,gcc,9,-Os,1426,1426,1426.0,2.048400640487671
684A,gcc,9,-Ofast,1517,1517,1517.0,2.1056368350982666
684A,gcc,10,-O0,1448,1448,1448.0,1.933795690536499
684A,gcc,10,-O1,1441,1441,1441.0,1.998146772384644
684A,gcc,10,-O2,1433,1433,1433.0,2.0456793308258057
684A,gcc,10,-O3,1433,1433,1433.0,2.0458545684814453
684A,gcc,10,-Os,1426,1426,1426.0,2.076373338699341
684A,gcc,10,-Ofast,1517,1517,1517.0,2.0683274269104004
684A,gcc,11,-O0,1451,1451,1451.0,1.929046392440796
684A,gcc,11,-O1,1441,1441,1441.0,2.034000396728516
684A,gcc,11,-O2,1433,1433,1433.0,2.0617330074310303
684A,gcc,11,-O3,1433,1433,1433.0,2.055114269256592
684A,gcc,11,-Os,1426,1426,1426.0,2.099862098693848
684A,gcc,11,-Ofast,1517,1517,1517.0,2.061859369277954
684A,gcc,12,-O0,1451,1451,1451.0,2.0243563652038574
684A,gcc,12,-O1,1441,1441,1441.0,2.281528949737549
