model_name,seconds,code_name,caracteristcs,length
meta-llama/CodeLlama-13b-Instruct-hf,6.706904649734497,T90T,14,25
meta-llama/CodeLlama-13b-Instruct-hf,8.75496768951416,ASDD,9,50
meta-llama/CodeLlama-13b-Instruct-hf,38.08408975601196,PZQ1,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.30304265022278,Z9PB,7,108
meta-llama/CodeLlama-13b-Instruct-hf,38.26635789871216,93I5,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,38.17875266075134,MIOK,2,57
meta-llama/CodeLlama-13b-Instruct-hf,82.33871793746948,80K3,6,42
meta-llama/CodeLlama-13b-Instruct-hf,82.04133129119873,8BUN,4,58
meta-llama/CodeLlama-13b-Instruct-hf,82.34330701828003,VEUW,7,108
meta-llama/CodeLlama-13b-Instruct-hf,82.52942728996277,8V5V,5,86
meta-llama/CodeLlama-13b-Instruct-hf,82.41152000427246,ZMQZ,3,42
meta-llama/CodeLlama-13b-Instruct-hf,82.97669553756714,UTYO,13,-1
meta-llama/CodeLlama-13b-Instruct-hf,82.37234592437744,X0BX,7,108
meta-llama/CodeLlama-13b-Instruct-hf,82.14998745918274,EUTO,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,8.715967416763306,ZU0I,9,50
meta-llama/CodeLlama-13b-Instruct-hf,82.2158784866333,8EAO,7,108
meta-llama/CodeLlama-13b-Instruct-hf,82.72576403617859,AKFR,6,42
meta-llama/CodeLlama-13b-Instruct-hf,82.78912019729614,ET0O,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,82.69436025619507,OT47,10,-1
meta-llama/CodeLlama-13b-Instruct-hf,82.26350712776184,H25Y,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,82.70685625076294,9OZ1,6,42
meta-llama/CodeLlama-13b-Instruct-hf,82.54951500892639,05WH,6,42
meta-llama/CodeLlama-13b-Instruct-hf,82.55144786834717,BI7R,5,86
meta-llama/CodeLlama-13b-Instruct-hf,82.15602588653564,RVYG,2,57
meta-llama/CodeLlama-13b-Instruct-hf,82.17520880699158,XVWV,2,57
meta-llama/CodeLlama-13b-Instruct-hf,82.44362282752991,IWCD,7,108
meta-llama/CodeLlama-13b-Instruct-hf,6.7709667682647705,GI8S,14,25
meta-llama/CodeLlama-13b-Instruct-hf,171.94687390327454,PB0N,4,58
meta-llama/CodeLlama-13b-Instruct-hf,171.1342418193817,B6T3,11,-1
meta-llama/CodeLlama-13b-Instruct-hf,171.07189917564392,5X1W,12,-1
meta-llama/CodeLlama-13b-Instruct-hf,170.19527101516724,F5SM,2,57
meta-llama/CodeLlama-13b-Instruct-hf,170.10244011878967,OCHN,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,6.716663122177124,YAXY,14,25
meta-llama/CodeLlama-13b-Instruct-hf,170.90149784088135,5HHB,11,-1
meta-llama/CodeLlama-13b-Instruct-hf,170.6445083618164,EQON,5,86
meta-llama/CodeLlama-13b-Instruct-hf,169.49913024902344,CJ40,2,57
meta-llama/CodeLlama-13b-Instruct-hf,169.5577630996704,H5D7,8,-1
meta-llama/CodeLlama-13b-Instruct-hf,169.89731454849243,EXHS,7,108
