model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,39.996912240982056,FAZI1,3,51,None,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,13.579063653945923,FAZI2,6,91,FAZI1,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,17.571873426437378,FAZI3,8,126,FAZI2,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,18.541973114013672,FAZI4,3,166,FAZI3,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,21.096534967422485,FAZI5,2,177,FAZI4,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,9.060884952545166,FAZI6,8,210,FAZI5,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,13.647045373916626,FAZI7,6,207,FAZI6,FAZI
meta-llama/Meta-Llama-3.1-8B-Instruct,36.87491464614868,TPBQ1,5,52,None,TPBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,27.256877899169922,TPBQ2,9,179,TPBQ1,TPBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,23.77150869369507,TPBQ3,14,202,TPBQ2,TPBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,22.2332923412323,TPBQ4,5,247,TPBQ3,TPBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,18.45119547843933,TPBQ5,4,272,TPBQ4,TPBQ
meta-llama/Meta-Llama-3.1-8B-Instruct,36.851781368255615,VRFF1,4,75,None,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,8.704629182815552,VRFF2,2,103,VRFF1,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,4.688844203948975,VRFF3,5,93,VRFF2,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,30.97856307029724,VRFF4,5,31,VRFF3,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,36.327882528305054,VRFF5,12,30,VRFF4,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,36.48483371734619,VRFF6,3,41,VRFF5,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,3.085223436355591,VRFF7,9,61,VRFF6,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,33.562203884124756,VRFF8,7,173,VRFF7,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,11.3523530960083,VRFF9,14,186,VRFF8,VRFF
meta-llama/Meta-Llama-3.1-8B-Instruct,37.60499906539917,OJNS1,5,56,None,OJNS
meta-llama/Meta-Llama-3.1-8B-Instruct,34.13530254364014,OJNS2,12,57,OJNS1,OJNS
