model_name,seconds,code_name,caracteristcs,length,previous_code,folder_id
meta-llama/Meta-Llama-3.1-8B-Instruct,14.857774019241331,PLNE5,14,156,PLNE4,PLNE
meta-llama/Meta-Llama-3.1-8B-Instruct,23.438363552093502,PLNE6,1,177,PLNE5,PLNE
meta-llama/Meta-Llama-3.1-8B-Instruct,13.975777626037598,PLNE7,14,186,PLNE6,PLNE
meta-llama/Meta-Llama-3.1-8B-Instruct,7.878021240234375,PLNE8,8,184,PLNE7,PLNE
meta-llama/Meta-Llama-3.1-8B-Instruct,7.603710412979126,PLNE9,8,182,PLNE8,PLNE
meta-llama/Meta-Llama-3.1-8B-Instruct,16.733295917510986,JVFS1,1,32,,JVFS
meta-llama/Meta-Llama-3.1-8B-Instruct,14.935771465301514,JVFS2,8,136,JVFS1,JVFS
meta-llama/Meta-Llama-3.1-8B-Instruct,6.176181554794312,JVFS3,14,146,JVFS2,JVFS
meta-llama/Meta-Llama-3.1-8B-Instruct,16.35056447982788,KOVY1,7,82,,KOVY
meta-llama/Meta-Llama-3.1-8B-Instruct,10.862279653549194,KOVY2,4,106,KOVY1,KOVY
meta-llama/Meta-Llama-3.1-8B-Instruct,5.950933218002319,AGUR1,1,29,,AGUR
meta-llama/Meta-Llama-3.1-8B-Instruct,1.3238794803619385,AGUR2,13,27,AGUR1,AGUR
meta-llama/Meta-Llama-3.1-8B-Instruct,15.321274280548096,AGUR3,4,45,AGUR2,AGUR
meta-llama/Meta-Llama-3.1-8B-Instruct,3.905580759048462,AGUR4,7,84,AGUR3,AGUR
meta-llama/Meta-Llama-3.1-8B-Instruct,10.613528966903688,AGUR5,4,103,AGUR4,AGUR
meta-llama/Meta-Llama-3.1-8B-Instruct,37.13085675239563,UAUB1,5,79,,UAUB
meta-llama/Meta-Llama-3.1-8B-Instruct,11.825415134429932,UAUB2,8,139,UAUB1,UAUB
meta-llama/Meta-Llama-3.1-8B-Instruct,27.003675937652588,UAUB3,4,138,UAUB2,UAUB
meta-llama/Meta-Llama-3.1-8B-Instruct,18.011740922927856,UAUB4,9,151,UAUB3,UAUB
meta-llama/Meta-Llama-3.1-8B-Instruct,37.52549195289612,TJYF1,3,46,,TJYF
meta-llama/Meta-Llama-3.1-8B-Instruct,13.220890760421751,TJYF2,13,63,TJYF1,TJYF
meta-llama/Meta-Llama-3.1-8B-Instruct,8.362884998321533,TJYF3,11,49,TJYF2,TJYF
