model_name,seconds,code_name,caracteristcs,length
meta-llama/Meta-Llama-3.1-8B-Instruct,33.62608480453491,VXOT,177,501
meta-llama/Meta-Llama-3.1-8B-Instruct,33.21298050880432,G0VB,261,343
meta-llama/Meta-Llama-3.1-8B-Instruct,32.99552655220032,4GKX,262,464
meta-llama/Meta-Llama-3.1-8B-Instruct,25.759933710098267,D3JA,64,178
meta-llama/Meta-Llama-3.1-8B-Instruct,33.467994928359985,G4FU,43,387
meta-llama/Meta-Llama-3.1-8B-Instruct,33.343214988708496,No Name,248,-1
meta-llama/Meta-Llama-3.1-8B-Instruct,33.64152550697327,V2PY,106,499
meta-llama/Meta-Llama-3.1-8B-Instruct,33.959681034088135,Q1IO,18,345
meta-llama/Meta-Llama-3.1-8B-Instruct,105.73518085479736,EXIY,41,635
meta-llama/Meta-Llama-3.1-8B-Instruct,105.2798273563385,AL2N,197,476
meta-llama/Meta-Llama-3.1-8B-Instruct,105.2798273563385,29MH,197,476
meta-llama/Meta-Llama-3.1-8B-Instruct,105.2798273563385,ASXE,197,265
meta-llama/Meta-Llama-3.1-8B-Instruct,105.50369334220886,8IJF,289,731
meta-llama/Meta-Llama-3.1-8B-Instruct,105.50369334220886,IBE5,289,731
meta-llama/Meta-Llama-3.1-8B-Instruct,105.46675324440002,MHWJ,183,1487
meta-llama/Meta-Llama-3.1-8B-Instruct,105.86862993240356,1DUT,68,669
meta-llama/Meta-Llama-3.1-8B-Instruct,105.17718982696532,2A8R,257,367
meta-llama/Meta-Llama-3.1-8B-Instruct,105.62804913520812,94LS,18,785
meta-llama/Meta-Llama-3.1-8B-Instruct,105.62804913520812,GWSY,18,733
meta-llama/Meta-Llama-3.1-8B-Instruct,105.2016396522522,IJW6,268,1515
meta-llama/Meta-Llama-3.1-8B-Instruct,105.78705954551695,0AS2,50,395
meta-llama/Meta-Llama-3.1-8B-Instruct,105.74791741371156,0U08,57,1524
meta-llama/Meta-Llama-3.1-8B-Instruct,266.4493360519409,FR7V,179,375
meta-llama/Meta-Llama-3.1-8B-Instruct,265.6306822299957,4ZBI,30,351
meta-llama/Meta-Llama-3.1-8B-Instruct,266.1095368862152,7597,9,1231
meta-llama/Meta-Llama-3.1-8B-Instruct,266.1095368862152,ADF4,9,1231
meta-llama/Meta-Llama-3.1-8B-Instruct,265.71396493911743,XWO7,269,223
meta-llama/Meta-Llama-3.1-8B-Instruct,266.4677419662476,XFJE,214,394
meta-llama/Meta-Llama-3.1-8B-Instruct,266.4677419662476,QFZI,214,2859
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,1TX3,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,Q1GK,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,83WY,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,44KC,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,48VV,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,AHXI,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,0AT8,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,XZF8,174,368
meta-llama/Meta-Llama-3.1-8B-Instruct,266.33609676361084,C8DD,174,101
meta-llama/Meta-Llama-3.1-8B-Instruct,266.3850963115692,Q324,113,357
meta-llama/Meta-Llama-3.1-8B-Instruct,266.16671323776245,HOD9,188,581
meta-llama/Meta-Llama-3.1-8B-Instruct,266.16671323776245,D6IT,188,1316
meta-llama/Meta-Llama-3.1-8B-Instruct,266.16671323776245,FS7D,188,1394
meta-llama/Meta-Llama-3.1-8B-Instruct,266.00133872032166,S66T,140,464
meta-llama/Meta-Llama-3.1-8B-Instruct,265.93947529792786,87PE,276,1142
meta-llama/Meta-Llama-3.1-8B-Instruct,265.93947529792786,WE5H,276,1142
meta-llama/Meta-Llama-3.1-8B-Instruct,265.93947529792786,J924,276,1142
meta-llama/Meta-Llama-3.1-8B-Instruct,672.5494832992554,D5UP,137,1500
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,2HCZ,18,357
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,8TTS,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,GUW6,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,5L2F,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,MVPE,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,IB11,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,XSCX,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,IY1U,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,PADD,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,P8ID,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,K4W7,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,2HS0,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,QEMO,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,GMO0,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,QSHL,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,FT7J,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,H47C,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,FGFE,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,1Y34,18,390
meta-llama/Meta-Llama-3.1-8B-Instruct,676.2208969593048,2H2P,18,156
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8146860599518,RZ6P,192,1202
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8146860599518,TQ4T,192,1202
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8146860599518,FBSM,192,1144
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8146860599518,K8AF,192,1144
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8146860599518,MYH1,192,1144
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,3RD8,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,BZOZ,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,502L,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,7K5W,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,FHWP,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,2NO5,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,3CQW,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,QFB4,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,X39G,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,35ID,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,AXI2,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,M1X6,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,04K7,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,RA9U,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,CTWF,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,KACZ,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,Z6D0,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,3IYZ,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,3UUZ,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,U0ZO,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,19JD,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,VAAG,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.5501358509064,30OC,164,270
meta-llama/Meta-Llama-3.1-8B-Instruct,675.6593241691589,HN4I,161,2353
meta-llama/Meta-Llama-3.1-8B-Instruct,675.8882830142975,X21H,166,328
meta-llama/Meta-Llama-3.1-8B-Instruct,675.167350769043,5U8F,47,1392
meta-llama/Meta-Llama-3.1-8B-Instruct,675.167350769043,TAA4,47,1716
meta-llama/Meta-Llama-3.1-8B-Instruct,675.167350769043,Y4B4,47,1716
