model,mean_seconds,std_seconds,sample_size,max_length,lower_value,higher_value
meta-llama/Meta-Llama-3.1-8B-Instruct,203.91021213531494,61.828859188912844,20,1024,122.16006994247437,336.1512944698334
meta-llama/Meta-Llama-3.1-8B-Instruct,470.2203701376915,145.1695869317521,20,2048,238.2113814353943,741.2062406539917
