Program,cpu-cycles,instructions,cache-references,cache-misses,branch-instructions
array1_1,10988034,23796433,94763,28552,4587202
sortedlist1_1,7595380,15972622,90511,26116,3058805
array1_2,1644202,1141140,83037,21445,210791
sortedlist1_2,1553546,1116622,68449,27509,207150
array1_3,7524546,14364746,78141,19665,2146063
sortedlist1_3,1758385,1690718,66799,16032,322201
array1_4,2435142,2929809,81551,31550,553931
sortedlist1_4,2716707,2393889,95167,27110,451738
array1_5,2077706,1769165,92725,20117,329877
sortedlist1_5,1664866,1405184,69418,26608,261893
array1_6,17614708,36843263,136523,27534,7063562
sortedlist1_6,11281312,24846096,99462,34019,4770490
array1_7,7432823,14356991,76903,18146,2144571
sortedlist1_7,1742670,1689956,74851,19526,322675
array1_8,1784069,1175442,88022,30703,216306
sortedlist1_8,1582353,1130076,74174,19508,209256
array1_9,7250839,13923871,74401,22835,2082513
sortedlist1_9,1833047,1695088,72327,27712,323324
array1_10,9941904,13953447,121704,38434,2087974
sortedlist1_10,2524381,1691769,84334,25355,322851
array1_11,1599683,1154768,75018,25728,213325
sortedlist1_11,1514365,1133184,72430,21824,209343
array1_12,7618461,13924839,88978,27731,2083171
sortedlist1_12,1821250,1695225,75736,25385,322876
array1_13,1934200,1979989,74991,26748,376110
sortedlist1_13,1995422,1683024,89591,28574,318156
array1_14,7680706,14356246,79720,25339,2144592
sortedlist1_14,1789028,1688692,75076,22401,322420
array1_15,8808830,16457608,92566,26834,2541294
sortedlist1_15,2323169,3062098,77559,19077,586146
array1_16,4029915,6763269,74479,18104,1036008
sortedlist1_16,1665220,1404276,72362,21152,264767
array1_17,4269156,6780968,85795,29202,1038988
sortedlist1_17,1629409,1398929,68430,19001,263815
array1_18,4817771,9087194,73045,16613,1733913
sortedlist1_18,4259805,5343639,110372,39162,1015145
array1_19,8175801,16235343,88541,21439,2832103
sortedlist1_19,3596293,6225935,75610,17873,1191626
array1_20,59523789,82268579,390689,76219,13076786
sortedlist1_20,13464926,17333907,124340,27105,3357287
array2_1,90177118,200038136,231320,61776,29750385
sortedlist2_1,9244931,15275921,128528,36700,3016869
array2_2,1600472,1125027,71402,19608,208316
sortedlist2_2,1656634,1122461,83066,27579,208038
array2_3,8223447,14353436,75910,26963,2143706
sortedlist2_3,1746956,1682981,72383,22689,321315
array2_4,3515602,2931124,89860,38040,555472
sortedlist2_4,2143878,2365586,72504,17895,448097
array2_5,2290055,2914958,73946,17497,549253
sortedlist2_5,2205561,2231973,81350,32854,421789
array2_6,21520483,48343309,106311,21347,9285213
sortedlist2_6,14614621,32689199,102645,34012,6331719
array2_7,8498668,14395341,109094,37759,2150285
sortedlist2_7,1878138,1683710,78001,23493,321645
array2_8,1677239,1119347,79411,21206,207608
sortedlist2_8,1516647,1115512,71617,18709,206904
array2_9,8167734,13909863,101293,45608,2080582
sortedlist2_9,1710587,1679651,72336,17532,321002
array2_10,7629089,13919134,90113,20845,2081970
sortedlist2_10,1922506,1692538,78261,30979,322545
array2_11,1531715,1136038,72180,18550,210837
sortedlist2_11,1539252,1135820,69080,16733,209874
array2_12,7652317,13937904,91448,26043,2084868
sortedlist2_12,1758686,1673178,69998,21296,319616
array2_13,1876892,1961264,73635,18702,373833
sortedlist2_13,1877644,1676905,75922,22486,317378
array2_14,9114520,14360362,92893,33839,2145513
sortedlist2_14,1732996,1682918,73976,17312,321410
array2_15,9623357,16469579,111504,33908,2542954
sortedlist2_15,2291204,3034828,72451,20802,582665
array2_16,4121275,6792213,80419,20601,1041413
sortedlist2_16,1790267,1408702,75161,31064,265482
array2_17,4036349,6768392,71528,19616,1037383
sortedlist2_17,1637076,1395198,68003,15605,263395
array2_18,11071812,19796534,120261,31931,3793750
sortedlist2_18,10308785,13288047,91310,19635,2547956
array2_19,23556281,35949732,135860,41446,6473284
sortedlist2_19,8297030,17380507,91277,24729,3356389
array2_20,103767163,209830409,333370,68852,33804278
sortedlist2_20,33006727,45754355,165430,32427,8879239
array3_1,92077922,200047766,222456,54365,29748141
sortedlist3_1,7542540,15270890,92535,20895,3016153
array3_2,1510694,1124606,64101,16949,207927
sortedlist3_2,2120522,1139821,84056,29292,211020
array3_3,13040582,14421983,123784,44350,2155619
sortedlist3_3,2530697,1681612,77574,25853,321368
array3_4,2605675,2929180,86361,29768,554567
sortedlist3_4,2050101,2378821,73995,26106,449308
array3_5,8157176,15789302,83145,23744,2391528
sortedlist3_5,2079175,2254678,78096,25313,428337
array3_6,23007419,48386459,161408,36335,9291925
sortedlist3_6,26777316,33233182,166612,32618,6381853
array3_7,7421991,14335544,73958,18717,2141908
sortedlist3_7,2216720,1685805,85172,32879,321531
array3_8,1787308,1124966,82135,27440,208352
sortedlist3_8,1519915,1129241,75702,23235,208648
array3_9,7476369,13898439,87558,27597,2078747
sortedlist3_9,1825490,1668694,74643,18064,318669
